response.id,prog.prof,prog.comf,math.prof,math.comf,stat.prof,stat.comf,updv.num,dom,consent,PSTAT100,PSTAT120A-B,PSTAT126,PSTAT127,PSTAT134,CS9,PSTAT131,PSTAT174,LING104,LING105,PSTAT115,PSTAT122,PSTAT160A-B,CS16,CS5A-B,POLS15,LING110,CS130A-B,CS165A-B,rsrch
1,Adv,5,Int,3,Adv,4,6-8,No,Yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
2,Int,5,Int,3,Int,4,9+,Yes,Yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,TRUE
3,Int,3,Int,3,Int,4,6-8,No,Yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,TRUE
4,Int,3,Int,3,Int,3,0-2,Yes,Yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
5,Int,3,Adv,4,Int,3,3-5,No,Yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,FALSE
7,Int,3,Adv,4,Int,3,6-8,No,Yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
8,Adv,4,Adv,5,Adv,4,9+,No,Yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,TRUE
9,Int,3,Int,3,Int,3,3-5,Yes,Yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,TRUE
10,Int,4,Int,3,Adv,4,6-8,No,Yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,FALSE
12,Int,5,Int,4,Int,4,3-5,No,Yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
13,Int,4,Adv,4,Adv,4,9+,No,Yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,FALSE
14,Int,3,Beg,2,Beg,2,6-8,Unsure,Yes,no,yes,yes,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,FALSE
15,Adv,3,Adv,4,Adv,4,9+,No,Yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,FALSE
16,Adv,5,Int,3,Int,4,6-8,No,Yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,FALSE
17,Int,3,Int,4,Int,4,9+,No,Yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,FALSE
18,Int,4,Adv,5,Adv,5,9+,Yes,Yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
19,Adv,5,Adv,5,Adv,5,9+,Yes,Yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,TRUE
