Category: All categories

Month,Data science: (Worldwide)
2004-01,3
2004-02,1
2004-03,1
2004-04,1
2004-05,<1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,2
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,<1
2005-09,0
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,<1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,<1
2006-08,1
2006-09,1
2006-10,1
2006-11,<1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,<1
2007-09,1
2007-10,<1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,<1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,<1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,<1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,<1
2009-09,1
2009-10,1
2009-11,1
2009-12,<1
2010-01,<1
2010-02,1
2010-03,1
2010-04,<1
2010-05,<1
2010-06,1
2010-07,1
2010-08,1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,<1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,2
2012-09,2
2012-10,2
2012-11,2
2012-12,2
2013-01,2
2013-02,3
2013-03,3
2013-04,4
2013-05,4
2013-06,3
2013-07,4
2013-08,4
2013-09,4
2013-10,4
2013-11,4
2013-12,5
2014-01,6
2014-02,6
2014-03,6
2014-04,6
2014-05,6
2014-06,7
2014-07,7
2014-08,9
2014-09,9
2014-10,9
2014-11,9
2014-12,9
2015-01,10
2015-02,11
2015-03,11
2015-04,12
2015-05,11
2015-06,13
2015-07,13
2015-08,13
2015-09,14
2015-10,15
2015-11,14
2015-12,13
2016-01,16
2016-02,15
2016-03,16
2016-04,16
2016-05,19
2016-06,17
2016-07,16
2016-08,18
2016-09,20
2016-10,21
2016-11,23
2016-12,21
2017-01,27
2017-02,27
2017-03,29
2017-04,28
2017-05,31
2017-06,31
2017-07,32
2017-08,33
2017-09,35
2017-10,36
2017-11,36
2017-12,31
2018-01,39
2018-02,39
2018-03,42
2018-04,41
2018-05,42
2018-06,43
2018-07,44
2018-08,45
2018-09,48
2018-10,49
2018-11,46
2018-12,42
2019-01,52
2019-02,54
2019-03,53
2019-04,56
2019-05,51
2019-06,58
2019-07,67
2019-08,65
2019-09,66
2019-10,63
2019-11,64
2019-12,57
2020-01,64
2020-02,70
2020-03,58
2020-04,60
2020-05,63
2020-06,65
2020-07,69
2020-08,67
2020-09,65
2020-10,60
2020-11,53
2020-12,54
2021-01,59
2021-02,57
2021-03,58
2021-04,57
2021-05,61
2021-06,62
2021-07,61
2021-08,64
2021-09,66
2021-10,60
2021-11,66
2021-12,63
2022-01,86
2022-02,89
2022-03,93
2022-04,91
2022-05,89
2022-06,91
2022-07,94
2022-08,100
2022-09,93
